Date,Open,High,Low,Close,Adj Close,Volume
2023-08-02,3434.949951,3446.399902,3413.600098,3440.649902,3383.435059,1914899
2023-08-03,3420.000000,3433.250000,3368.000000,3399.949951,3343.411865,2026351
2023-08-04,3401.250000,3471.000000,3401.250000,3443.550049,3386.286865,2248493
2023-08-07,3453.949951,3488.000000,3441.250000,3484.050049,3426.113281,1853889
2023-08-08,3484.050049,3489.949951,3456.600098,3470.600098,3412.887207,1634225
2023-08-09,3464.899902,3467.000000,3425.050049,3462.500000,3404.921631,1794589
2023-08-10,3450.000000,3464.899902,3430.050049,3442.100098,3384.861084,1096701
2023-08-11,3438.100098,3466.649902,3414.000000,3448.800049,3391.449707,1679974
2023-08-14,3440.699951,3455.000000,3411.000000,3449.850098,3392.481934,1190425
2023-08-16,3450.000000,3466.000000,3435.199951,3458.399902,3400.889648,1328445
2023-08-17,3455.000000,3460.800049,3413.199951,3435.750000,3378.616699,1843241
2023-08-18,3410.000000,3410.000000,3356.500000,3367.100098,3311.108154,2526749
2023-08-21,3375.000000,3409.750000,3372.000000,3401.649902,3345.083740,1375579
2023-08-22,3400.000000,3411.000000,3365.050049,3382.149902,3325.907715,1222012
2023-08-23,3388.000000,3402.000000,3376.000000,3398.250000,3341.740234,1330046
2023-08-24,3408.000000,3413.050049,3378.100098,3387.750000,3331.414795,1152881
2023-08-25,3375.000000,3385.800049,3350.250000,3381.300049,3325.071777,1158046
2023-08-28,3394.000000,3394.000000,3360.100098,3375.550049,3319.417725,1037485
2023-08-29,3381.050049,3389.550049,3365.000000,3376.149902,3320.007568,944517
2023-08-30,3398.000000,3408.100098,3383.050049,3390.949951,3334.561523,1188200
2023-08-31,3401.000000,3417.399902,3343.649902,3356.800049,3300.979492,3417652
2023-09-01,3366.000000,3389.000000,3356.800049,3379.199951,3323.006836,1277950
2023-09-04,3378.000000,3432.850098,3370.050049,3418.500000,3361.653320,1828332
2023-09-05,3420.000000,3447.000000,3405.149902,3429.350098,3372.322998,1501842
2023-09-06,3434.000000,3443.899902,3398.100098,3429.899902,3372.863525,1314818
2023-09-07,3430.800049,3460.000000,3422.300049,3455.250000,3397.791992,1885092
2023-09-08,3455.250000,3465.000000,3435.050049,3441.899902,3384.664307,1518917
2023-09-11,3462.000000,3485.699951,3445.000000,3480.649902,3422.769775,1783604
2023-09-12,3492.000000,3589.899902,3483.000000,3580.800049,3521.254639,4476016
2023-09-13,3571.100098,3588.850098,3545.000000,3567.850098,3508.520020,1754929
2023-09-14,3570.050049,3597.699951,3545.600098,3560.050049,3500.849609,2604721
2023-09-15,3567.850098,3607.350098,3562.449951,3598.300049,3538.463379,2952897
2023-09-18,3580.050049,3619.300049,3575.250000,3606.149902,3546.182861,1395753
2023-09-20,3580.000000,3625.000000,3580.000000,3606.050049,3546.084717,1649396
2023-09-21,3588.550049,3605.000000,3528.000000,3585.300049,3525.679688,2004073
2023-09-22,3584.000000,3633.750000,3565.050049,3603.649902,3543.724365,1989083
2023-09-25,3602.500000,3620.000000,3558.649902,3577.149902,3517.665039,1238778
